"id","name","short_description","parent_id","category","category_name","updated"
"aws_iot_things","AWS IoT Things Graph","IoT graph service by Amazon",,"productivity","Productivity","2020-05-30T20:00:19.092Z"
"aws_key_mgt","AWS Key Management Service","Encryption key management service by Amazon",,"cloud","Cloud","2020-05-20T19:14:27.298Z"
"aws_lake_formation","AWS Lake Formation","Secure data lake service by Amazon",,"database","Database","2020-05-20T19:15:13.741Z"
"aws_lambda","AWS Lambda","Compute virtual function service by Amazon",,"remoting","Remoting","2020-05-20T19:16:02.051Z"
"aws_license_mgr","AWS License Manager","License management service by Amazon",,"cloud","Cloud","2020-05-20T19:16:16.722Z"
"aws_marketplace","AWS Marketplace","Search, buy, deploy software on AWS",,"shopping","Shopping","2020-05-20T19:17:16.756Z"
"aws_mediaconnect","AWS Elemental MediaConnect","Live video transport service by Amazon",,"video","Video","2020-05-20T19:18:11.625Z"
"aws_mediaconvert","AWS Elemental MediaConvert","File-based video transcoding service by Amaon",,"video","Video","2020-05-20T19:18:41.351Z"
"aws_mediapkg","AWS Elemental MediaPackage","Prepare and protect video streams by Amazon",,"video","Video","2020-05-20T19:36:19.596Z"
"aws_mediastore","AWS Elemental MediaStore","Media storage service by Amazon",,"video","Video","2020-05-20T19:38:16.867Z"
"aws_mediatailor","AWS Elemental MediaTailor","Insert targeted advertising into video streams by Amazon",,"video","Video","2020-05-20T19:38:49.461Z"
"aws_migration_hub","AWS Migration Hub","Application migration service by Amazon",,"remoting","Remoting","2020-05-20T19:40:04.265Z"
"aws_opsworks","AWS OpsWorks","Configuration management service by Amazon",,"remoting","Remoting","2020-05-20T19:40:23.044Z"
"aws_organizations","AWS Organizations","Central organization management by Amazon",,"cloud","Cloud","2020-05-30T20:00:45.441Z"
"aws_ram","AWS Resource Access Manager","Resource security by Amazon",,"cloud","Cloud","2020-05-30T20:01:06.500Z"
"aws_resource_groups","AWS Resource Groups","Group cloud resources by Amazon",,"cloud","Cloud","2020-05-20T19:56:48.174Z"
"aws_robomaker","AWS RoboMaker","Robot simulation, developing and deploying service by Amazon",,"productivity","Productivity","2020-05-30T20:01:30.183Z"
"aws_secrets_mgr","AWS Secrets Manager","Manage, rotate and retrieve secrets, keys and credentials by Amazon",,"cloud","Cloud","2020-05-20T19:58:28.438Z"
"aws_security_hub","AWS Security Hub","Security alerts management by Amazon",,"cloud","Cloud","2020-05-20T20:00:09.809Z"
"aws_serverless_repo","AWS Serverless Application Repository","Managed repository for serverless applications by Amazon",,"cloud","Cloud","2020-05-20T20:00:23.518Z"
"aws_service_catalog","AWS Service Catalog","Centrally manage commonly deployed IT services by Amazon",,"cloud","Cloud","2020-05-20T20:00:41.322Z"
"aws_service_quotas","AWS Service Quotas","Centralized service quota management by Amazon",,"cloud","Cloud","2020-05-20T20:00:57.589Z"
"aws_shield","AWS Shield","Distributed Denial of Service protection service by Amazon",,"networking","Networking","2020-05-20T20:01:22.776Z"
"aws_sms","AWS Server Migration Service","Coordinator for large-scale server migrations by Amazon",,"cloud","Cloud","2020-05-20T20:01:49.954Z"
